"AB Lemon",,,,
"Adam Steinmetz Kennard",,,,
"Alexander Waugh",,,,
"Alison Craig",,,,
"Annie Martell",,,,
"Anthony John Ashley",,,,
"Brig Oubridge",,,,
"C.J. Warner",,,,
"CJ Connor",,,,
"CK Lamberth",,,,
"CR Boney",,,,
"David Freeman",,,,
"Dean Palethorpe",,,,
"E. J. Plaisted",,,,
"F. R. Hancock",,,,
"Frances Howard",,,,
"Frederick William Slade",,,,
"Hamish Soutar",,,,
"Hugh Capstick",,,,
"J. D. Monro",,,,
"John A Cannon",,,,
"John Alan Lyde Caunter",,,,
"John F Lakeman",,,,
"John Holme",,,,
"John Mackarness Booker",,,,
"John Smith",,,,
"Julius Roberts",,,,
"M Kemp",,,,
"Malcolm Wood",,,,
"Nick Radford",,,,
"Nick Startin",,,,
"Paul Martin",,,,
"Paul Sample",,,,
"Paul W.L. Sample",,,,
"Reetendra Banerji",,,,
"Richard Denton-White","Q98554278","1983 United Kingdom general election","Wansdyke","Liberal Party"
"Rick Page","Q75975749","2019 United Kingdom general election","Salisbury","Green Party of England and Wales"
"Ricky Rogers",,,,
"Roger R Thomas",,,,
"Ronald C Smith",,,,
"Sean Witheridge",,,,
"Sherwood M. Elcock",,,,
"Shirley Haysom",,,,
"Steve R. Fear",,,,
"Steven W. Fletcher",,,,
"Sue Mallory",,,,
"T Abbott",,,,
"Teresa Seaborne",,,,
"Thomas Corbin",,,,
"Tim I. Abbott",,,,
"Tom Corbin","Q76450651","2019 United Kingdom general election","Salisbury","Labour Party"
"Tom Gann",,,,
"Victoria Charleston","Q75839206","2019 United Kingdom general election","Salisbury","Liberal Democrats"
"WAJ Case",,,,
"William Holmes",,,,
"William Richmond Brown",,,,
"Yvonne Emmerson-Peirce",,,,
