id,name,party,partyLabel,votes,election,electionLabel,ranking
Q391465,John Glen,Q9626,Conservative Party (UK),30280,Q30173038,General election 2019,1
,Victoria Charleston,Q9624,Liberal Democrats (UK),10544,Q30173038,General election 2019,2
,Tom Corbin,Q9630,Labour Party (UK),9675,Q30173038,General election 2019,3
,Rick Page,Q9669,Green Party of England and Wales,2486,Q30173038,General election 2019,4
Q4800521,King Arthur Pendragon,Q327591,Independent politician,745,Q30173038,General election 2019,5
Q391465,John Glen,Q9626,Conservative Party (UK),30952,Q25052149,General election 2017,1
,Tom Corbin,Q9630,Labour Party (UK),13619,Q25052149,General election 2017,2
,Paul Sample,Q9624,Liberal Democrats (UK),5982,Q25052149,General election 2017,3
,Dean Palethorpe,Q10647,UK Independence Party,1191,Q25052149,General election 2017,4
,Brig Oubridge,Q9669,Green Party of England and Wales,1152,Q25052149,General election 2017,5
Q4800521,Arthur Uther Pendragon,Q327591,Independent politician,415,Q25052149,General election 2017,6
Q391465,John Glen,Q9626,Conservative Party (UK),28192,Q3586935,General election 2015,1
,Thomas Corbin,Q9630,Labour Party (UK),7771,Q3586935,General election 2015,2
,Paul Martin,Q10647,UK Independence Party,6152,Q3586935,General election 2015,3
,Reetendra Banerji,Q9624,Liberal Democrats (UK),5099,Q3586935,General election 2015,4
,Alison Craig,Q9669,Green Party of England and Wales,2762,Q3586935,General election 2015,5
Q4800521,Arthur Uther Pendragon,Q327591,Independent politician,729,Q3586935,General election 2015,6
Q391465,John Glen,Q9626,Conservative Party (UK),23859,Q215622,General election 2010,1
,Nick Radford,Q9624,Liberal Democrats (UK),17893,Q215622,General election 2010,2
,Tom Gann,Q9630,Labour Party (UK),3690,Q215622,General election 2010,3
,Frances Howard,Q10647,UK Independence Party,1392,Q215622,General election 2010,4
,Sean Witheridge,Q161269,British National Party,765,Q215622,General election 2010,5
,Nick Startin,Q9669,Green Party of England and Wales,506,Q215622,General election 2010,6
Q4800521,Arthur Uther Pendragon,Q327591,Independent politician,257,Q215622,General election 2010,7
,John Holme,Q327591,Independent politician,119,Q215622,General election 2010,8
Q5391268,Robert Key,Q9626,Conservative Party (UK),25961,Q428598,General election 2005,1
,Richard Denton-White,Q9624,Liberal Democrats (UK),14819,Q428598,General election 2005,2
Q16980094,Clare Moody,Q9630,Labour Party (UK),9457,Q428598,General election 2005,3
,Frances Howard,Q10647,UK Independence Party,2290,Q428598,General election 2005,4
,Hamish Soutar,Q9669,Green Party of England and Wales,1555,Q428598,General election 2005,5
,John Holme,Q327591,Independent politician,240,Q428598,General election 2005,6
Q5391268,Robert Key,Q9626,Conservative Party (UK),24527,Q590740,General election 2001,1
,Yvonne Emmerson-Peirce,Q9624,Liberal Democrats (UK),15824,Q590740,General election 2001,2
,Sue Mallory,Q9630,Labour Party (UK),9199,Q590740,General election 2001,3
,Malcolm Wood,Q10647,UK Independence Party,1958,Q590740,General election 2001,4
,Hamish Soutar,Q9669,Green Party of England and Wales,1095,Q590740,General election 2001,5
Q5391268,Robert Key,Q9626,Conservative Party (UK),25012,Q918503,General election 1997,1
,Yvonne Emmerson-Peirce,Q9624,Liberal Democrats (UK),18736,Q918503,General election 1997,2
,Ricky Rogers,Q9630,Labour Party (UK),10242,Q918503,General election 1997,3
Q318471,Nigel Farage,Q10647,UK Independence Party,3332,Q918503,General election 1997,4
,Hamish Soutar,Q9669,Green Party of England and Wales,623,Q918503,General election 1997,5
,William Holmes,Q327591,Independent politician,184,Q918503,General election 1997,6
,Shirley Haysom,Q491782,Natural Law Party,110,Q918503,General election 1997,7
Q5391268,Robert Key,Q9626,Conservative Party (UK),31546,Q543609,General election 1992,1
,Paul W.L. Sample,Q9624,Liberal Democrats (UK),22573,Q543609,General election 1992,2
,Steve R. Fear,Q9630,Labour Party (UK),5483,Q543609,General election 1992,3
,Sherwood M. Elcock,Q9669,Green Party of England and Wales,609,Q543609,General election 1992,4
,Steven W. Fletcher,Q327591,Independent politician,233,Q543609,General election 1992,5
,Tim I. Abbott,Q327591,Independent politician,117,Q543609,General election 1992,6
,Annie Martell,Q491782,Natural Law Party,93,Q543609,General election 1992,7
Q5391268,Robert Key,Q9626,Conservative Party (UK),31612,Q918472,General election 1987,1
Q1692749,Parry Mitchell,Q40052,Social Democratic Party (UK),20169,Q918472,General election 1987,2
,Teresa Seaborne,Q9630,Labour Party (UK),5455,Q918472,General election 1987,3
,Steven W. Fletcher,Q327591,Independent politician,372,Q918472,General election 1987,4
Q5391268,Robert Key,Q9626,Conservative Party (UK),28876,Q918466,General election 1983,1
